customer_Id,DOB,Gender,city_code,Customer_Name,Created_Modified_Date
266783,01-05-1974,M,New York,John,17-07-2020 14:39
266784,13-12-1991,F,Boston,William,17-07-2020 14:39
266785,29-06-1985,F,Mumbai,James,17-07-2020 14:39
266788,20-03-1972,F,Pune,Charles,17-07-2020 14:39
266794,28-02-1971,F,Las Vegas,George,17-07-2020 14:39
266799,16-03-1970,F,London,Frank,17-07-2020 14:39
266803,23-06-1988,F,Boston,Joseph,17-07-2020 14:39
266804,14-07-1979,M,Boston,Thomas,17-07-2020 14:39
266805,07-01-1976,F,Panama,Henry,17-07-2020 14:39
266806,08-12-1991,F,Boston,Robert,17-07-2020 14:39
266807,13-09-1988,M,New York,Edward,17-07-2020 14:39
266809,26-02-1980,F,Mumbai,Harry,17-07-2020 14:39
266810,16-08-1981,F,Mumbai,Walter,17-07-2020 14:39
266812,26-11-1982,M,London,Arthur,17-07-2020 14:39
266813,21-04-1988,F,Las Vegas,Fred,17-07-2020 14:39
266814,18-10-1982,F,Las Vegas,Albert,17-07-2020 14:39
266815,07-08-1973,F,New York,Samuel,17-07-2020 14:39
266816,15-11-1974,M,Wales,David,17-07-2020 14:39
266817,28-10-1980,F,London,Louis,17-07-2020 14:39
266818,08-10-1981,F,Pune,Joe,17-07-2020 14:39
266819,22-07-1982,M,Panama,Charlie,17-07-2020 14:39
266820,16-04-1978,F,London,Clarence,17-07-2020 14:39
266821,27-12-1991,M,London,Richard,17-07-2020 14:39
266822,20-09-1970,F,Las Vegas,Andrew,17-07-2020 14:39
266823,03-06-1986,M,Mumbai,Daniel,17-07-2020 14:39
266824,04-06-1973,M,Cannes,Ernest,17-07-2020 14:39
266825,21-11-1992,F,Panama,Will,17-07-2020 14:39
266827,04-11-1977,F,Cannes,Jesse,17-07-2020 14:39
266829,25-06-1976,F,New York,Oscar,17-07-2020 14:39
266830,13-05-1985,M,Boston,Lewis,17-07-2020 14:39
266831,08-10-1978,M,Wales,Peter,17-07-2020 14:39
266833,09-03-1990,F,Cannes,Benjamin,17-07-2020 14:39
266835,16-02-1987,F,Boston,Frederick,17-07-2020 14:39
266836,21-11-1973,F,Cannes,Willie,17-07-2020 14:39
266838,14-11-1974,M,New York,Alfred,17-07-2020 14:39
266841,02-03-1991,M,Boston,Sam,17-07-2020 14:39
266842,15-05-1984,F,Boston,Roy,17-07-2020 14:39
266843,02-01-1987,F,London,Herbert,17-07-2020 14:39
266844,03-10-1986,M,London,Jacob,17-07-2020 14:39
